iter	Passed	Remaining
931	1858	135
932	1860	133
933	1862	131
934	1863	129
935	1866	127
936	1867	125
937	1869	123
938	1871	121
939	1872	119
940	1874	117
941	1876	115
942	1879	113
943	1882	111
944	1883	109
945	1885	107
946	1887	105
947	1889	103
948	1891	101
949	1892	99
950	1894	97
951	1896	95
952	1898	93
953	1899	91
954	1901	89
955	1903	87
956	1905	85
957	1907	83
958	1909	81
959	1910	79
960	1913	77
961	1914	75
962	1916	73
963	1918	71
964	1920	69
965	1921	67
966	1923	65
967	1924	63
968	1926	61
969	1928	59
970	1929	57
971	1931	55
972	1932	53
973	1934	51
974	1936	49
975	1937	47
976	1939	45
977	1940	43
978	1942	41
979	1944	39
980	1945	37
981	1946	35
982	1948	33
983	1949	31
984	1950	29
985	1952	27
986	1953	25
987	1954	23
988	1955	21
989	1956	19
990	1958	17
991	1959	15
992	1961	13
993	1962	11
994	1963	9
995	1965	7
996	1966	5
997	1967	3
998	1969	1
999	1970	0
244	15
993	2246	13
994	2248	11
995	2249	9
996	2251	6
997	2252	4
998	2254	2
999	2256	0
